0.0, 5.8, 0.5, 2.0, 0.1 | 167.05
0.0, 6.0, 5.0, 5.0, 0.0 | 130.55
-1.0, 5.0, -1.0, 5.0, -0.5 | 14.55
-1.0, 6.0, -1.0, 6.0, 0.0 | 16.75
-3.0, 6.0, -2.0, 6.0, 0.0 | 15.35
-2.0, 4.5, -1.0, 4.0, 0.0 | 21.7
-0.5, 6.0, -0.5, 2.1, 0.0 | 110.25
-2.0, 6.0, -2.0, 3.0, 0.0 | 27.2
-1.0, 5.0, -0.5, -2.0, 0.0 | 7.45
1.1, 5.9, 0.6, 2.9, 0.0 | 249.3
2.0, 5.5, 0.5, 2.0, 0.0 | 194.7
0.0, 6.0, 0.0, 2.0, 0.0 | 244.45
-0.5, 5.8, 0.5, 2.0, 0.0 | 181.55
-2.0, 6.0, -2.0, 6.0, 0.0 | 16.1
-3.0, 6.0, -2.0, 5.0, 0.0 | 17.55
-2.0, 6.0, -1.0, 2.0, 0.0 | 65.9
-0.5, 5.0, 0.5, 2.5, 0.0 | 212.2
6.0, 5.0, -4.0, 5.0, 0.0 | 15.35
-2.0, 5.5, 0.5, 2.5, 0.0 | 115.25
-0.3, 5.5, 0.4, 2.7, 0.0 | 206.35
-1.0, 6.0, -2.0, 2.0, 0.0 | 51.85
3.0, 6.0, 2.0, 2.0, 0.0 | 246.5
-1.2, 2.0, 4.4, 4.2, 0.0 | 214.0
0.0, 5.8, 0.5, 3.0, 0.0 | 106.8
-0.2, 6.0, -0.5, 2.0, 0.0 | 123.55
-1.0, 6.0, -1.0, 1.0, 0.0 | 65.0
0.5, 5.8, 0.5, 2.2, 0.5 | 54.65
4.9, 4.0, -3.6, 3.7, -0.1 | 14.7
5.0, 6.0, -3.0, 5.0, 0.0 | 16.25
-1.0, 6.0, 0.0, 3.0, 0.0 | 68.9
-2.0, 6.0, -1.0, 6.0, 0.0 | 16.95
0.8, 6.0, -0.4, 4.0, 0.0 | 28.1
-2.0, 5.0, -1.0, 5.0, 0.0 | 21.0
0.0, 5.8, 2.0, 4.0, 0.0 | 155.15
-2.0, -5.0, -3.0, -2.0, 0.0 | 8.5
-4.0, 6.0, -2.0, 6.0, 0.0 | 18.65
1.5, 6.0, -0.4, 2.0, 0.0 | 169.2
-1.0, 6.0, -0.5, 2.1, 0.0 | 95.75
0.5, 6.0, 0.6, 1.7, 0.5 | 59.55
-0.1, 6.0, 0.0, 1.7, 0.0 | 185.1
-0.8, 5.0, -0.8, 5.2, 0.0 | 17.85
-0.2, 6.0, -0.5, 3.0, 0.0 | 50.9
-0.5, 6.0, -0.4, 2.0, 0.0 | 121.8
-0.2, 5.8, 0.5, 2.0, 0.5 | 50.15
-2.0, 4.5, -1.0, 4.5, 0.0 | 20.7
4.0, 6.0, 2.0, 1.7, 0.0 | 106.4
0.9, 6.0, -0.4, 2.0, 0.0 | 192.25
-2.0, 5.8, 2.5, 2.5, 0.0 | 209.95
0.5, 5.5, 0.5, 3.5, 0.0 | 61.9
-1.0, 6.0, 0.0, 2.0, 0.0 | 118.3
0.0, 5.8, 0.5, 2.0, 1.0 | 36.25
0.6, 6.0, -0.4, 1.8, 0.0 | 214.4
-2.0, 4.0, -0.5, 3.5, 0.0 | 31.65
2.0, 5.5, 0.5, 2.0, 0.0 | 191.9
0.7, 6.0, -0.2, 2.0, 0.0 | 247.5
-1.0, 4.0, 0.0, 5.0, 0.0 | 18.55
0.8, 5.8, -0.5, 2.0, 0.0 | 188.1
0.5, 5.8, 0.5, 1.7, 0.5 | 53.9
-2.6, 1.0, 3.8, 3.6, 0.5 | 71.7
-1.0, 5.8, 0.5, 2.5, 0.0 | 147.15
-2.2, 1.0, 4.4, 4.2, 0.0 | 203.3
-2.0, 6.0, -1.0, 3.0, 0.0 | 35.75
-2.0, 6.0, -1.0, 3.0, 0.0 | 35.7
-2.0, 5.0, -1.0, 6.0, 0.0 | 17.45
-1.0, 5.0, -1.0, 2.0, 0.0 | 70.9
-1.2, 6.0, -0.5, 2.0, 0.0 | 95.9
-1.0, 4.0, 0.0, 4.0, 0.0 | 27.65
-2.0, 6.0, -1.0, 6.0, 0.0 | 18.0
-1.5, 4.0, -1.0, 3.5, 0.0 | 27.9
0.0, 5.0, -1.0, 2.0, 0.0 | 89.1
-0.4, 6.0, 0.5, 2.0, 0.0 | 200.15
0.0, 6.0, 0.5, 3.0, 0.0 | 111.35
-3.2, 2.0, 5.4, 5.2, 1.0 | 45.1
-1.4, 6.0, 5.6, 4.6, 0.3 | 191.35
0.0, 5.9, 3.0, 3.0, 0.5 | 166.05
0.0, 6.0, -0.1, 2.5, 0.0 | 202.15
0.2, 6.0, 0.0, 2.0, -0.5 | 45.8
-0.3, 6.0, 0.5, 2.0, 0.0 | 239.2
-0.6, 5.9, 0.5, 2.5, 0.0 | 177.2
-2.0, 6.0, -1.0, 6.0, 0.0 | 16.1
0.2, 5.8, 0.8, 3.4, 0.0 | 76.15
-3.0, -6.0, -4.0, -3.0, 0.0 | 6.45
0.0, 6.0, 0.0, 1.7, 0.0 | 246.0
-3.0, 5.5, -2.0, 4.5, 0.0 | 18.3
-1.0, 6.0, -2.0, 2.0, 0.0 | 49.8
0.0, 5.8, 0.8, 2.7, 0.3 | 85.5
-2.0, 5.5, -1.0, 6.0, 0.0 | 17.05
-1.0, 4.0, -1.0, 4.0, 0.0 | 22.85
-2.0, 6.0, -0.4, 2.2, 0.5 | 33.1
-2.0, -6.0, -3.0, -2.0, 0.0 | 7.5
-2.0, 5.0, -2.0, 3.0, 0.0 | 26.2
-2.0, 5.5, -1.0, 5.5, 0.0 | 16.65
-1.5, 5.8, 2.5, 2.5, 0.0 | 245.75
-2.6, 1.0, 4.8, 4.6, 0.5 | 87.0
-0.6, 5.9, 0.5, 2.0, 0.0 | 169.35
2.0, 6.0, 0.5, 1.7, 0.0 | 239.15
-0.5, 6.0, -0.5, 2.0, 0.0 | 124.85
3.0, 5.8, 2.5, 2.5, 0.0 | 204.5
-3.6, 1.0, 4.8, 4.6, 0.5 | 78.95
-1.0, 4.0, -1.0, 4.0, 0.0 | 23.25
-3.6, 1.0, 3.8, 3.6, 0.5 | 63.9
4.9, 4.0, -3.6, 2.7, 0.9 | 12.15
0.7, 6.0, -0.4, 2.0, 0.5 | 45.35
0.5, 6.0, -0.3, 2.5, 0.0 | 171.75
1.5, 6.0, -0.5, 2.0, 0.0 | 164.65
-0.1, 6.0, 0.5, 2.0, 0.0 | 370.1
-2.0, 6.0, 5.4, 5.2, 0.0 | 264.95
1.0, 5.0, 0.5, 2.7, 0.0 | 384.1
-0.8, 5.7, 3.2, 2.8, 0.0 | 457.35
-0.7, 5.8, 2.5, 2.5, 0.0 | 430.65
-1.3, 6.0, 4.8, 4.6, 0.0 | 490.15
0.9, 6.0, 5.2, 4.5, 0.0 | 480.5
-0.1, 5.9, 0.5, 2.5, 0.0 | 371.25
0.8, 6.0, 0.2, 2.2, 0.0 | 481.25
0.0, 6.0, 5.2, 4.5, 0.5 | 271.9
-0.1, 6.0, 0.5, 2.5, 0.0 | 368.25
-0.2, 5.6, 0.5, 2.3, 0.0 | 298.65
1.2, 5.5, 0.5, 2.2, 0.0 | 396.5
0.7, 6.0, 0.0, 2.0, 0.0 | 366.35
0.9, 5.6, 0.6, 2.9, 0.0 | 280.05
0.0, 6.0, 5.2, 4.5, 0.3 | 464.75
1.5, 5.8, 0.5, 2.0, 0.0 | 325.5
1.3, 5.8, 0.4, 2.2, 0.0 | 334.3
0.0, 6.0, 4.6, 4.7, 0.0 | 318.7
1.5, 5.5, 0.5, 2.2, 0.0 | 306.0
-0.2, 5.2, 0.5, 2.5, 0.0 | 271.35
-2.0, 6.0, 5.0, 4.5, 0.0 | 342.35
1.5, 6.0, 5.2, 4.6, 0.0 | 326.1
-0.7, 5.8, 3.0, 3.0, 0.0 | 479.2
1.6, 5.8, 0.5, 2.0, 0.0 | 283.35
-1.0, 5.8, 2.5, 2.5, 0.0 | 322.85
-0.2, 5.8, 0.7, 2.8, 0.0 | 360.7
0.2, 6.0, 5.0, 4.5, 0.4 | 454.95
-0.1, 5.8, 0.5, 2.5, 0.0 | 358.45
0.9, 5.5, 0.3, 2.1, 0.0 | 449.55
0.0, 6.0, 5.0, 4.8, 0.1 | 445.0
-0.3, 6.0, 5.2, 4.6, 0.2 | 429.3
1.6, 5.9, 0.5, 1.7, 0.0 | 341.65
-0.9, 5.4, 3.0, 3.0, 0.0 | 393.25
0.0, 6.0, 0.1, 2.5, 0.0 | 348.5
-1.0, 5.8, 3.0, 3.0, 0.0 | 366.7
-1.0, 5.8, 2.5, 2.5, 0.0 | 352.15
-0.8, 5.9, 2.8, 2.8, 0.0 | 431.2
0.0, 6.0, 6.0, 4.5, 0.0 | 348.7
-0.6, 5.8, 2.2, 2.8, 0.0 | 397.15
2.0, 6.0, 4.8, 4.6, 0.0 | 325.1
-1.0, 6.0, 3.0, 3.0, 0.0 | 370.05
1.0, 5.5, 0.5, 2.7, 0.0 | 448.3
-0.1, 5.5, 0.5, 2.0, 0.0 | 359.35
